iter	Passed	Remaining
746	56678	19196
747	56760	19122
748	56922	19075
749	57036	19012
750	57283	18992
751	57367	18918
752	57516	18866
753	57641	18805
754	57769	18746
755	57906	18689
756	58187	18678
757	58318	18618
758	58370	18534
759	58454	18459
760	58521	18379
761	58576	18295
762	58661	18221
763	58723	18139
764	58798	18062
765	58873	17984
766	58952	17908
767	59016	17827
768	59077	17746
769	59141	17665
770	59228	17591
771	59288	17510
772	59346	17427
773	59403	17345
774	59454	17260
775	59526	17182
776	59625	17112
777	59692	17033
778	59760	16953
779	59823	16873
780	59883	16791
781	59943	16710
782	59998	16627
783	60063	16547
784	60125	16467
785	60190	16387
786	60273	16312
787	60332	16231
788	60426	16159
789	60508	16084
790	60580	16006
791	60658	15930
792	60712	15848
793	60778	15768
794	60846	15689
795	60904	15608
796	60958	15526
797	61018	15445
798	61084	15366
799	61157	15289
800	61231	15212
801	61315	15137
802	61372	15056
803	61448	14979
804	61496	14896
805	61556	14816
806	61626	14738
807	61685	14657
808	61770	14583
809	61822	14501
810	61875	14419
811	61934	14339
812	62104	14284
813	62177	14207
814	62251	14130
815	62315	14051
816	62393	13975
817	62466	13898
818	62523	13817
819	62591	13739
820	62652	13659
821	62711	13579
822	62804	13507
823	62860	13426
824	63019	13367
825	63103	13293
826	63178	13216
827	63259	13140
828	63329	13063
829	63399	12985
830	63476	12909
831	63528	12827
832	63585	12747
833	63650	12669
834	63705	12588
835	63784	12512
836	63852	12434
837	63909	12354
838	63963	12274
839	64006	12191
840	64075	12114
841	64124	12032
842	64165	11950
843	64212	11868
844	64260	11787
845	64313	11707
846	64361	11626
847	64403	11543
848	64447	11462
849	64485	11379
850	64531	11298
851	64572	11216
852	64616	11135
853	64659	11054
854	64703	10973
855	64751	10892
856	64794	10811
857	64839	10731
858	64899	10652
859	64933	10570
860	64980	10490
861	65023	10409
862	65060	10328
863	65111	10248
864	65159	10169
865	65204	10089
866	65248	10009
867	65294	9929
868	65341	9850
869	65390	9770
870	65431	9690
871	65478	9611
872	65521	9531
873	65569	9452
874	65606	9372
875	65655	9293
876	65705	9215
877	65756	9137
878	65802	9058
879	65854	8980
880	65894	8900
881	65936	8821
882	65982	8742
883	66029	8664
884	66075	8586
885	66118	8507
886	66161	8428
887	66223	8352
888	66269	8274
889	66315	8196
890	66354	8117
891	66404	8040
892	66444	7961
893	66492	7883
894	66543	7806
895	66594	7729
896	66636	7651
897	66689	7575
898	66732	7497
899	66775	7419
900	66826	7342
901	66868	7265
902	66909	7187
903	66956	7110
904	67003	7033
905	67044	6956
906	67082	6878
907	67128	6801
908	67167	6724
909	67214	6647
910	67266	6571
911	67312	6495
912	67353	6418
913	67413	6343
914	67457	6266
915	67505	6190
916	67554	6114
917	67596	6038
918	67640	5961
919	67690	5886
920	67737	5810
921	67783	5734
922	67832	5658
923	67876	5582
924	67921	5507
925	67967	5431
926	68018	5356
927	68067	5281
928	68112	5205
929	68164	5130
930	68217	5055
931	68259	4980
932	68308	4905
933	68352	4830
934	68390	4754
935	68444	4679
936	68495	4605
937	68542	4530
938	68586	4455
939	68626	4380
940	68677	4306
941	68715	4230
942	68761	4156
943	68804	4081
944	68848	4007
945	68897	3932
946	68939	3858
947	68985	3783
948	69026	3709
949	69075	3635
950	69114	3561
951	69158	3486
952	69195	3412
953	69238	3338
954	69279	3264
955	69325	3190
956	69358	3116
957	69380	3041
958	69402	2967
959	69429	2892
960	69449	2818
961	69475	2744
962	69500	2670
963	69520	2596
964	69547	2522
965	69575	2448
966	69598	2375
967	69623	2301
968	69648	2228
969	69672	2154
970	69703	2081
971	69730	2008
972	69750	1935
973	69772	1862
974	69796	1789
975	69818	1716
976	69840	1644
977	69864	1571
978	69891	1499
979	69917	1426
980	69939	1354
981	69966	1282
982	69994	1210
983	70018	1138
984	70044	1066
985	70068	994
986	70093	923
987	70117	851
988	70140	780
989	70163	708
990	70188	637
991	70213	566
992	70238	495
993	70261	424
994	70282	353
995	70305	282
996	70331	211
997	70359	141
998	70387	70
999	70416	0
